
Thread 0
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
95.0                .0947                 .8189                 .1988                  .0            95.0          .0                  .0
145.0               .0966                 .9789                 .0756                  .0            145.0         .0                  .0
120.0               .0496                 .729                  .0608                  .0            121.0         .0                  .0
186.0               .0645                 .7363                 .0538                  .0            185.0         .0                  .0
177.0               .0565                 .7672                 .0562                  .0            177.0         .0                  .0
175.0               .08                   .9338                 .0529                  .0            175.0         .0                  .0
157.0               .1019                 .6328                 .0596                  .0            157.0         .0                  .0
155.0               .0323                 .7337                 .05                    .0            155.0         .0                  .0
192.0               .0833                 .6841                 .0775                  .0            192.0         .0                  .0
190.0               .0526                 .7726                 .0904                  .0            190.0         .0                  .0
198.0               .0202                 .7779                 .0442                  .0            198.0         .0                  .0
192.0               .0521                 1.0007                .0854                  .0            192.0         .0                  .0
191.0               .125                  .9075                 .0799                  .0            192.0         .0                  .0
187.0               .0428                 .8318                 .1276                  .0            186.0         .0                  .0
179.0               .0556                 1.3197                .0847                  .0            180.0         .0                  .0
146.0               .0685                 2.2962                .0485                  .0            145.0         .0                  .0
166.0               .0659                 .6815                 .0476                  .0            167.0         .0                  .0
190.0               .0421                 .6707                 .061                   .0            189.0         .0                  .0
226.0               .0531                 .5483                 .0431                  .0            226.0         .0                  .0
189.0               .1058                 .905                  .0667                  .0            189.0         .0                  .0
150.0               .053                  1.9947                .0669                  .0            151.0         .0                  .0
162.0               .0617                 1.9212                .1051                  .0            161.0         .0                  .0
187.0               .0267                 .8324                 .0575                  .0            187.0         .0                  .0
221.0               .0588                 .6471                 .0443                  .0            221.0         .0                  .0
192.0               .0104                 .8385                 .0912                  .0            193.0         .0                  .0
195.0               .0918                 .7612                 .1336                  .0            195.0         .0                  .0
196.0               .0408                 .8526                 .0584                  .0            195.0         .0                  .0
186.0               .0538                 .8131                 .1101                  .0            186.0         .0                  .0
192.0               .0781                 .8125                 .0896                  .0            192.0         .0                  .0
185.0               .0649                 .9522                 .0612                  .0            185.0         .0                  .0
197.0               .0455                 .7147                 .0445                  .0            198.0         .0                  .0
179.0               .0559                 .9631                 .069                   .0            178.0         .0                  .0
182.0               .0549                 .951                  .0896                  .0            182.0         .0                  .0
189.0               .0947                 .8965                 .0736                  .0            190.0         .0                  .0
188.0               .0532                 .8116                 .0894                  .0            187.0         .0                  .0
188.0               .0532                 .9896                 .0894                  .0            188.0         .0                  .0
198.0               .0704                 .8495                 .0549                  .0            199.0         .0                  .0
189.0               .0582                 .7239                 .0557                  .0            188.0         .0                  .0
189.0               .0582                 .7954                 .1532                  .0            189.0         .0                  .0
194.0               .0567                 .9383                 .0822                  .0            194.0         .0                  .0
199.0               .0251                 .8612                 .0746                  .0            199.0         .0                  .0
193.0               .0363                 .8313                 .1303                  .0            193.0         .0                  .0
194.0               .0464                 .9276                 .0582                  .0            194.0         .0                  .0
186.0               .0856                 .8456                 .1245                  .0            187.0         .0                  .0
186.0               .0376                 1.1385                .0801                  .0            185.0         .0                  .0
191.0               .0262                 .7802                 .0798                  .0            191.0         .0                  .0
191.0               .0524                 1.0694                .1818                  .0            191.0         .0                  .0
192.0               .0833                 .7766                 .1681                  .0            192.0         .0                  .0
190.0               .0263                 .9718                 .0934                  .0            190.0         .0                  .0
169.0               .0651                 .8921                 .0978                  .0            169.0         .0                  .0
180.0               .0389                 .7572                 .0658                  .0            180.0         .0                  .0
153.0               .0523                 .6826                 .043                   .0            153.0         .0                  .0
197.0               .0355                 .6423                 .0434                  .0            197.0         .0                  .0
186.0               .0323                 .706                  .0584                  .0            186.0         .0                  .0
189.0               .0582                 .7662                 .1118                  .0            189.0         .0                  .0
189.0               .0582                 .6682                 .0402                  .0            189.0         .0                  .0
184.0               .1141                 .7992                 .0596                  .0            184.0         .0                  .0
152.0               .0592                 .6636                 .0401                  .0            152.0         .0                  .0
161.0               .0559                 .6301                 .0386                  .0            161.0         .0                  .0
203.0               .0197                 .6897                 .041                   .0            203.0         .0                  .0
Server 0, get requests: 10900

Thread 1
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
100.0               .07                   .8041                 .1945                  .0            100.0         .0                  .0
150.0               .0667                 1.0161                .0713                  .0            150.0         .0                  .0
121.0               .041                  .8065                 .0612                  .0            122.0         .0                  .0
191.0               .0677                 .6821                 .052                   .0            191.0         .0                  .0
165.0               .1576                 .7115                 .0557                  .0            164.0         .0                  .0
188.0               .0691                 .6562                 .059                   .0            188.0         .0                  .0
156.0               .0962                 .6608                 .0513                  .0            156.0         .0                  .0
159.0               .0755                 .7054                 .067                   .0            159.0         .0                  .0
191.0               .0469                 .8644                 .0649                  .0            192.0         .0                  .0
199.0               .07                   .8852                 .0744                  .0            199.0         .0                  .0
196.0               .1071                 .838                  .0692                  .0            195.0         .0                  .0
192.0               .0259                 .7745                 .1085                  .0            193.0         .0                  .0
177.0               .1243                 .8347                 .1043                  .0            176.0         .0                  .0
189.0               .0632                 .8397                 .1215                  .0            190.0         .0                  .0
187.0               .0321                 .959                  .0576                  .0            186.0         .0                  .0
166.0               .0838                 .6585                 .0463                  .0            167.0         .0                  .0
156.0               .051                  2.0763                .06                    .0            156.0         .0                  .0
182.0               .0549                 1.5046                .0436                  .0            181.0         .0                  .0
220.0               .0727                 .5596                 .0439                  .0            220.0         .0                  .0
185.0               .1243                 .8869                 .085                   .0            185.0         .0                  .0
167.0               .1018                 .7337                 .0588                  .0            167.0         .0                  .0
173.0               .052                  .7123                 .0445                  .0            173.0         .0                  .0
184.0               .0486                 .7904                 1.3878                 .0            185.0         .0                  .0
225.0               .0756                 .6464                 .0642                  .0            224.0         .0                  .0
194.0               .067                  .8703                 .0837                  .0            194.0         .0                  .0
192.0               .026                  .9775                 .1411                  .0            192.0         .0                  .0
197.0               .0305                 .9218                 .1024                  .0            197.0         .0                  .0
188.0               .0638                 .831                  .0947                  .0            188.0         .0                  .0
186.0               .0645                 .8832                 .0896                  .0            186.0         .0                  .0
193.0               .0259                 .8339                 .0567                  .0            193.0         .0                  .0
199.0               .0603                 .7495                 .0788                  .0            199.0         .0                  .0
185.0               .0378                 .8461                 .1507                  .0            185.0         .0                  .0
188.0               .0691                 .9018                 .1291                  .0            188.0         .0                  .0
193.0               .0829                 .9191                 .085                   .0            193.0         .0                  .0
192.0               .0521                 .9485                 .1226                  .0            192.0         .0                  .0
196.0               .0612                 .8695                 .1066                  .0            196.0         .0                  .0
191.0               .0419                 .8041                 .078                   .0            191.0         .0                  .0
192.0               .0521                 .7971                 .1715                  .0            192.0         .0                  .0
190.0               .0684                 .823                  .1296                  .0            190.0         .0                  .0
199.0               .0503                 .8341                 .0948                  .0            199.0         .0                  .0
202.0               .0693                 .8215                 .104                   .0            202.0         .0                  .0
191.0               .0524                 .9166                 .0874                  .0            191.0         .0                  .0
181.0               .044                  .805                  .109                   .0            182.0         .0                  .0
192.0               .026                  .7577                 .0463                  .0            191.0         .0                  .0
193.0               .0515                 .6949                 .5808                  .0            194.0         .0                  .0
199.0               .0754                 .8662                 .1085                  .0            198.0         .0                  .0
193.0               .0622                 .9174                 .1007                  .0            193.0         .0                  .0
190.0               .0263                 .8439                 .1603                  .0            190.0         .0                  .0
