Read-Only,Throughput avg,Measured responses,,
Exp,ymean,y1,y2,y3
1,2825.0733333333,2917.44,2875.97,2681.81
2,2817.1833333333,2639.68,2906.23,2905.64
3,8003.7233333333,8106.56,7970.37,7934.24
4,8603.7466666667,8587.58,8640.32,8583.34
5,2892.5966666667,2901.58,2885.97,2890.24
6,2898.4066666667,2897.21,2899.67,2898.34
7,8314.1233333333,8714.93,8080.08,8147.36
8,8046.1933333333,6772.69,8688.5,8677.39
