Sum of Squares,Parameter 2
SSO,739294854.410817
SSA,173900939.534017
SSB,3631.4520166664
SSC,40840.8000666662
SSAB ,58776.3037499996
SSAC ,41876.9312666657
SSBC ,273655.784066665
SSABC ,273655.784066665
