
Thread 0
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
32.0                25.9697               19.8283               .9131                  .0            33.0          .0                  .0
42.0                40.4651               23.6491               .1326                  .0            42.0          .0                  .0
44.0                40.6                  21.61                 .745                   .0            44.0          .0                  .0
51.0                38.5769               19.5355               .3735                  .0            51.0          .0                  .0
48.0                37.3469               20.0922               .7106                  .0            48.0          .0                  .0
50.0                38.7843               18.7717               .9179                  .0            50.0          .0                  .0
49.0                41.24                 20.0262               .3751                  .0            49.0          .0                  .0
49.0                38.12                 20.6626               .0577                  .0            49.0          .0                  .0
47.0                40.625                19.6002               .6769                  .0            47.0          .0                  .0
40.0                38.0976               25.7353               .4222                  .0            40.0          .0                  .0
49.0                38.3                  19.4158               .6678                  .0            49.0          .0                  .0
49.0                34.68                 20.6636               .0522                  .0            49.0          .0                  .0
46.0                36.3617               21.3743               .3669                  .0            46.0          .0                  .0
49.0                40.5                  20.0223               .369                   .0            49.0          .0                  .0
52.0                37.1509               18.8854               .3455                  .0            52.0          .0                  .0
45.0                41.3478               22.1404               .0773                  .0            45.0          .0                  .0
48.0                40.102                20.4477               .381                   .0            48.0          .0                  .0
42.0                37.6047               23.7413               .0604                  .0            42.0          .0                  .0
45.0                39.1739               22.1643               .0517                  .0            45.0          .0                  .0
49.0                40.26                 20.3479               .0507                  .0            49.0          .0                  .0
52.0                42.2642               18.867                .0663                  .0            52.0          .0                  .0
44.0                41.4889               22.5367               .5312                  .0            44.0          .0                  .0
47.0                38.5833               20.2208               1.0551                 .0            47.0          .0                  .0
42.0                44.6512               22.9969               .8013                  .0            42.0          .0                  .0
51.0                39.3654               18.0259               .3525                  .0            51.0          .0                  .0
51.0                41.4615               20.7701               .0537                  .0            51.0          .0                  .0
48.0                39.0408               20.4051               .1017                  .0            48.0          .0                  .0
54.0                42.3455               18.73                 .0595                  .0            54.0          .0                  .0
54.0                39.6                  18.1901               .3133                  .0            54.0          .0                  .0
44.0                41.0444               21.9475               .772                   .0            44.0          .0                  .0
58.0                43.8983               16.4014               .5698                  .0            58.0          .0                  .0
49.0                40.9                  20.0239               .3821                  .0            49.0          .0                  .0
43.0                41.0909               23.1725               .0739                  .0            43.0          .0                  .0
53.0                41.7963               18.7849               .3252                  .0            53.0          .0                  .0
48.0                38.7755               20.1363               .6935                  .0            48.0          .0                  .0
52.0                36.6038               18.1989               .9929                  .0            52.0          .0                  .0
47.0                38.625                20.8747               .3856                  .0            47.0          .0                  .0
56.0                37.3509               17.7857               .0607                  .0            56.0          .0                  .0
47.0                37.2917               21.22                 .0494                  .0            47.0          .0                  .0
50.0                37.7451               19.3145               .6791                  .0            50.0          .0                  .0
51.0                39.4808               19.2321               .368                   .0            51.0          .0                  .0
48.0                38.551                20.7742               .0542                  .0            48.0          .0                  .0
45.0                37.913                22.1595               .0568                  .0            45.0          .0                  .0
44.0                42.9778               22.6623               .0607                  .0            44.0          .0                  .0
54.0                38.2909               18.4483               .0602                  .0            54.0          .0                  .0
43.0                39.2955               23.1954               .0629                  .0            43.0          .0                  .0
46.0                38.9149               21.297                .3817                  .0            46.0          .0                  .0
49.0                39.5                  19.0901               .3589                  .0            49.0          .0                  .0
45.0                39.8913               22.5155               .3964                  .0            45.0          .0                  .0
47.0                40.6875               19.8943               .0462                  .0            47.0          .0                  .0
47.0                41.4375               22.5685               .37                    .0            47.0          .0                  .0
53.0                38.7778               18.3633               .2029                  .0            53.0          .0                  .0
49.0                40.32                 20.6579               .0521                  .0            49.0          .0                  .0
47.0                38.75                 20.6076               .3386                  .0            47.0          .0                  .0
44.0                40.2222               23.0228               .0505                  .0            44.0          .0                  .0
50.0                38.3922               19.6565               .336                   .0            50.0          .0                  .0
50.0                41.1765               19.8973               .0994                  .0            50.0          .0                  .0
54.0                38.5273               17.9156               .3096                  .0            54.0          .0                  .0
53.0                37.0926               19.1102               .0403                  .0            53.0          .0                  .0
51.0                40.6346               19.0407               .5777                  .0            51.0          .0                  .0
1.0                 .0                    77.3195               .0417                  .0            .0            .0                  .0
Server 0, get requests: 2887

Thread 1
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
43.0                31.5455               14.2646               1.1564                 .0            44.0          .0                  .0
40.0                43.439                24.4856               .0898                  .0            40.0          .0                  .0
38.0                40.1538               25.8355               .4629                  .0            38.0          .0                  .0
53.0                37.5                  17.6021               1.246                  .0            53.0          .0                  .0
52.0                37.6792               19.4481               .0629                  .0            52.0          .0                  .0
42.0                39.093                23.0465               .7581                  .0            42.0          .0                  .0
49.0                40.26                 19.9339               .1526                  .0            49.0          .0                  .0
47.0                37.0833               19.5654               2.0363                 .0            47.0          .0                  .0
37.0                42.4737               26.9511               .0631                  .0            37.0          .0                  .0
46.0                43.5319               20.9988               .7402                  .0            46.0          .0                  .0
48.0                36.8163               20.1437               .3645                  .0            48.0          .0                  .0
51.0                36.8846               19.8513               .0516                  .0            51.0          .0                  .0
55.0                37.0536               16.7173               1.1805                 .0            55.0          .0                  .0
45.0                38.1739               21.8492               .7034                  .0            45.0          .0                  .0
50.0                38.8039               19.3334               .6598                  .0            50.0          .0                  .0
43.0                40.0909               23.2099               .0516                  .0            43.0          .0                  .0
44.0                39.6889               21.9481               .0563                  .0            44.0          .0                  .0
52.0                40.6981               19.4688               .3515                  .0            52.0          .0                  .0
48.0                39.3469               20.114                .0628                  .0            48.0          .0                  .0
43.0                38.1364               20.708                3.2659                 .0            43.0          .0                  .0
50.0                40.7255               19.9446               .0542                  .0            50.0          .0                  .0
42.0                40.8605               22.977                .7961                  .0            42.0          .0                  .0
45.0                37.8043               21.7687               .1038                  .0            45.0          .0                  .0
48.0                40.9388               21.0842               .0601                  .0            48.0          .0                  .0
42.0                41.2558               21.1401               1.1797                 .0            42.0          .0                  .0
47.0                39.1667               21.2392               1.3578                 .0            47.0          .0                  .0
52.0                36.283                18.5839               .6397                  .0            52.0          .0                  .0
50.0                38.1569               18.658                1.3142                 .0            50.0          .0                  .0
51.0                37.2692               18.9892               .3209                  .0            51.0          .0                  .0
49.0                42.5                  20.0608               .6556                  .0            49.0          .0                  .0
46.0                41.3617               20.3262               1.4054                 .0            46.0          .0                  .0
53.0                41.2222               18.1561               .6981                  .0            53.0          .0                  .0
49.0                40.3                  19.4075               .6885                  .0            49.0          .0                  .0
43.0                42.7273               23.5496               .0534                  .0            43.0          .0                  .0
45.0                41.0435               19.7583               1.4137                 .0            45.0          .0                  .0
53.0                38.7593               19.4157               .3325                  .0            53.0          .0                  .0
54.0                39.7091               18.2552               .2617                  .0            54.0          .0                  .0
50.0                37.0784               19.5473               .1306                  .0            50.0          .0                  .0
47.0                36.7292               19.5808               .7019                  .0            47.0          .0                  .0
48.0                39.551                21.76                 .3618                  .0            48.0          .0                  .0
46.0                38.7447               20.7167               1.0153                 .0            46.0          .0                  .0
50.0                37.7059               19.3327               .6641                  .0            50.0          .0                  .0
55.0                39.7143               17.5858               .5878                  .0            55.0          .0                  .0
45.0                39.6957               21.8051               .4103                  .0            45.0          .0                  .0
47.0                38.4792               20.7758               .167                   .0            47.0          .0                  .0
48.0                37.1837               20.4589               .6975                  .0            48.0          .0                  .0
48.0                40.3673               20.7492               .0666                  .0            48.0          .0                  .0
57.0                41.2586               16.9455               .6008                  .0            57.0          .0                  .0
45.0                37.3478               22.1648               .052                   .0            45.0          .0                  .0
52.0                38.4151               18.3606               .8674                  .0            52.0          .0                  .0
47.0                40.8542               20.898                .3726                  .0            47.0          .0                  .0
53.0                39.2963               17.224                1.3463                 .0            53.0          .0                  .0
49.0                38.76                 20.6631               .0486                  .0            49.0          .0                  .0
53.0                37.1852               18.8229               .0486                  .0            53.0          .0                  .0
48.0                38.102                20.3952               .4209                  .0            48.0          .0                  .0
44.0                37.3111               21.0055               1.7182                 .0            44.0          .0                  .0
42.0                40.2326               23.678                .049                   .0            42.0          .0                  .0
47.0                38.9792               20.915                .3559                  .0            47.0          .0                  .0
47.0                39.8125               21.1871               .0878                  .0            47.0          .0                  .0
