
Thread 0
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
40.0                .55                   2.963                 .0484                  40.0          .0            .0                  .0
74.0                .4324                 3.5678                .0263                  74.0          .0            .0                  .0
94.0                .234                  3.256                 .0239                  94.0          .0            .0                  .0
83.0                .0952                 2.7168                .0232                  84.0          .0            .0                  .0
95.0                .2632                 2.6569                .0235                  94.0          .0            .0                  .0
85.0                .2471                 3.1184                .0243                  85.0          .0            .0                  .0
89.0                .1778                 3.5512                .0256                  90.0          .0            .0                  .0
88.0                .2386                 2.9548                .0261                  87.0          .0            .0                  .0
81.0                .3086                 2.9804                .0213                  81.0          .0            .0                  .0
76.0                .1316                 3.9907                .0267                  76.0          .0            .0                  .0
77.0                .2179                 3.1303                .025                   78.0          .0            .0                  .0
85.0                .1765                 2.8986                .0239                  84.0          .0            .0                  .0
73.0                .3014                 3.2439                .0293                  73.0          .0            .0                  .0
92.0                .1828                 2.3836                .0482                  93.0          .0            .0                  .0
87.0                .3182                 3.2722                .0315                  87.0          .0            .0                  .0
67.0                .3235                 3.7587                .03                    67.0          .0            .0                  .0
24.0                .3333                 10.1088               .0218                  23.0          .0            .0                  .0
9.0                 .2222                 85.3206               .0296                  9.0           .0            .0                  .0
66.0                .5606                 2.9589                .0247                  66.0          .0            .0                  .0
84.0                .2976                 3.1568                .0254                  84.0          .0            .0                  .0
74.0                .3243                 3.1959                .0259                  74.0          .0            .0                  .0
79.0                .1392                 2.8364                .0257                  79.0          .0            .0                  .0
85.0                .1765                 3.3543                .027                   85.0          .0            .0                  .0
89.0                .1778                 2.6716                .0241                  90.0          .0            .0                  .0
74.0                .24                   3.936                 .0366                  74.0          .0            .0                  .0
31.0                .2258                 16.375                .0249                  30.0          .0            .0                  .0
65.0                .2308                 2.8584                .0251                  65.0          .0            .0                  .0
76.0                .4474                 3.4724                .0201                  76.0          .0            .0                  .0
72.0                .411                  2.9214                .0279                  73.0          .0            .0                  .0
76.0                .2368                 2.9627                .0212                  75.0          .0            .0                  .0
81.0                .2099                 3.7369                .0226                  81.0          .0            .0                  .0
79.0                .2625                 3.2068                .0219                  80.0          .0            .0                  .0
89.0                .1667                 3.4854                .0222                  89.0          .0            .0                  .0
91.0                .1209                 3.2457                .021                   90.0          .0            .0                  .0
85.0                .1279                 2.8608                .0184                  86.0          .0            .0                  .0
79.0                .3165                 2.9437                .0219                  78.0          .0            .0                  .0
89.0                .2697                 2.3735                .0198                  89.0          .0            .0                  .0
12.0                .0                    2.3983                .0202                  12.0          .0            .0                  .0
75.0                .1711                 2.4165                .0197                  76.0          .0            .0                  .0
71.0                .1831                 3.7244                .0197                  70.0          .0            .0                  .0
52.0                .3077                 4.068                 .0229                  52.0          .0            .0                  .0
81.0                .1235                 3.1367                .0206                  81.0          .0            .0                  .0
82.0                .1829                 3.0757                .0201                  82.0          .0            .0                  .0
78.0                .2179                 3.3443                .0204                  78.0          .0            .0                  .0
88.0                .1818                 3.1062                .0219                  88.0          .0            .0                  .0
79.0                .2125                 2.993                 .0202                  80.0          .0            .0                  .0
74.0                .2432                 2.7983                .0212                  73.0          .0            .0                  .0
81.0                .3704                 2.9326                .0227                  81.0          .0            .0                  .0
31.0                .3226                 3.4057                .0223                  31.0          .0            .0                  .0
9.0                 .1111                 1.121                 .0183                  9.0           .0            .0                  .0
75.0                .36                   3.3977                .0212                  75.0          .0            .0                  .0
79.0                .1899                 3.5939                .0199                  79.0          .0            .0                  .0
