
Thread 0
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
34.0                .0882                 .9709                 .0587                  34.0          .0            .0                  .0
43.0                .0698                 1.1659                .0276                  43.0          .0            .0                  .0
43.0                .0465                 1.8153                .0249                  43.0          .0            .0                  .0
46.0                .0435                 .9879                 .0247                  46.0          .0            .0                  .0
43.0                .093                  1.2029                .0203                  43.0          .0            .0                  .0
52.0                .0385                 .938                  .0193                  52.0          .0            .0                  .0
51.0                .098                  .8773                 .0195                  51.0          .0            .0                  .0
54.0                .0                    .8476                 .0204                  54.0          .0            .0                  .0
54.0                .0741                 .8307                 .0187                  54.0          .0            .0                  .0
50.0                .04                   .8359                 .0191                  50.0          .0            .0                  .0
44.0                .0455                 .8636                 .0191                  44.0          .0            .0                  .0
42.0                .1429                 .9511                 .0218                  42.0          .0            .0                  .0
45.0                .1556                 .9044                 .022                   45.0          .0            .0                  .0
46.0                .0652                 .8475                 .021                   46.0          .0            .0                  .0
48.0                .1042                 .9062                 .0268                  48.0          .0            .0                  .0
49.0                .0612                 .9549                 .0207                  49.0          .0            .0                  .0
43.0                .0465                 1.1005                .0199                  43.0          .0            .0                  .0
49.0                .0816                 .9881                 .0213                  49.0          .0            .0                  .0
48.0                .125                  .8718                 .0227                  48.0          .0            .0                  .0
39.0                .0                    .9086                 .0192                  39.0          .0            .0                  .0
52.0                .0                    .9005                 .024                   52.0          .0            .0                  .0
46.0                .0217                 .9532                 .0203                  46.0          .0            .0                  .0
49.0                .0816                 .9316                 .0201                  49.0          .0            .0                  .0
50.0                .0                    .8721                 .0333                  50.0          .0            .0                  .0
42.0                .0                    .9537                 .0224                  42.0          .0            .0                  .0
46.0                .0435                 1.0309                .0192                  46.0          .0            .0                  .0
50.0                .02                   .8595                 .0205                  50.0          .0            .0                  .0
55.0                .1455                 .8715                 .0193                  55.0          .0            .0                  .0
43.0                .093                  .8839                 .0199                  43.0          .0            .0                  .0
48.0                .0208                 1.2214                .0215                  48.0          .0            .0                  .0
50.0                .02                   1.0805                .0206                  50.0          .0            .0                  .0
44.0                .0909                 1.0375                .0189                  44.0          .0            .0                  .0
49.0                .0612                 .9434                 .0199                  49.0          .0            .0                  .0
53.0                .0377                 .8308                 .018                   53.0          .0            .0                  .0
44.0                .1591                 .96                   .0207                  44.0          .0            .0                  .0
48.0                .0417                 .9439                 .0196                  48.0          .0            .0                  .0
49.0                .0612                 .9886                 .02                    49.0          .0            .0                  .0
51.0                .0196                 1.0157                .0198                  51.0          .0            .0                  .0
47.0                .0426                 .9316                 .0195                  47.0          .0            .0                  .0
46.0                .0                    .9932                 .0201                  46.0          .0            .0                  .0
50.0                .04                   .8778                 .0191                  50.0          .0            .0                  .0
50.0                .0                    .995                  .0198                  50.0          .0            .0                  .0
44.0                .0227                 .8632                 .0195                  44.0          .0            .0                  .0
47.0                .0213                 .9501                 .0277                  47.0          .0            .0                  .0
51.0                .0588                 .85                   .0195                  51.0          .0            .0                  .0
45.0                .0889                 1.0005                .0209                  45.0          .0            .0                  .0
44.0                .0682                 .9313                 .0192                  44.0          .0            .0                  .0
47.0                .0638                 .964                  .0274                  47.0          .0            .0                  .0
50.0                .06                   .8952                 .0211                  50.0          .0            .0                  .0
45.0                .0889                 .8585                 .0195                  45.0          .0            .0                  .0
51.0                .1176                 .9385                 .0197                  51.0          .0            .0                  .0
51.0                .1176                 .9244                 .021                   51.0          .0            .0                  .0
46.0                .0435                 .888                  .0215                  46.0          .0            .0                  .0
49.0                .0204                 .8945                 .0196                  49.0          .0            .0                  .0
49.0                .0408                 1.0152                .0224                  49.0          .0            .0                  .0
47.0                .0213                 .9104                 .0233                  47.0          .0            .0                  .0
50.0                .06                   .9337                 .0207                  50.0          .0            .0                  .0
48.0                .0417                 1.0235                .0204                  48.0          .0            .0                  .0
55.0                .1455                 .8511                 .0199                  55.0          .0            .0                  .0
42.0                .0476                 .9                    .0199                  42.0          .0            .0                  .0
1.0                 .0                    .6927                 .0189                  1.0           .0            .0                  .0
Server 0, get requests: 0

Thread 1
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
33.0                .0303                 1.0441                .0551                  33.0          .0            .0                  .0
42.0                .0238                 1.216                 .027                   42.0          .0            .0                  .0
45.0                .0889                 .9813                 .025                   45.0          .0            .0                  .0
50.0                .04                   .9687                 .0217                  50.0          .0            .0                  .0
41.0                .0732                 1.1102                .0218                  41.0          .0            .0                  .0
47.0                .0213                 .9553                 .0206                  47.0          .0            .0                  .0
48.0                .1042                 .9032                 .0199                  48.0          .0            .0                  .0
49.0                .0204                 1.1385                .0215                  49.0          .0            .0                  .0
51.0                .0392                 .9435                 .0197                  51.0          .0            .0                  .0
50.0                .02                   .9443                 .0192                  50.0          .0            .0                  .0
47.0                .0426                 1.0499                .0203                  47.0          .0            .0                  .0
46.0                .0                    .9164                 .0197                  46.0          .0            .0                  .0
47.0                .0208                 .8993                 .0192                  48.0          .0            .0                  .0
48.0                .0625                 .8527                 .0243                  47.0          .0            .0                  .0
48.0                .1042                 .9384                 .0198                  48.0          .0            .0                  .0
50.0                .02                   1.0219                .0197                  50.0          .0            .0                  .0
45.0                .0667                 1.0043                .0204                  45.0          .0            .0                  .0
49.0                .0408                 .9731                 .0202                  49.0          .0            .0                  .0
49.0                .1429                 .8242                 .0207                  49.0          .0            .0                  .0
43.0                .0698                 .8703                 .0224                  43.0          .0            .0                  .0
48.0                .0208                 .8562                 .0202                  48.0          .0            .0                  .0
49.0                .0612                 .8778                 .0209                  49.0          .0            .0                  .0
45.0                .0222                 .9309                 .0191                  45.0          .0            .0                  .0
50.0                .12                   .852                  .02                    50.0          .0            .0                  .0
41.0                .0732                 1.0735                .0189                  41.0          .0            .0                  .0
50.0                .08                   .945                  .0206                  50.0          .0            .0                  .0
50.0                .08                   .9671                 .0224                  50.0          .0            .0                  .0
53.0                .0566                 .8584                 .0218                  53.0          .0            .0                  .0
43.0                .0698                 .9587                 .0242                  43.0          .0            .0                  .0
49.0                .0408                 .9088                 .0201                  49.0          .0            .0                  .0
52.0                .1154                 .9702                 .0201                  52.0          .0            .0                  .0
44.0                .0909                 1.0446                .02                    44.0          .0            .0                  .0
46.0                .0652                 .8701                 .0194                  46.0          .0            .0                  .0
50.0                .08                   .8289                 .0188                  50.0          .0            .0                  .0
42.0                .0714                 1.2962                .0214                  42.0          .0            .0                  .0
45.0                .0222                 .9936                 .0198                  45.0          .0            .0                  .0
48.0                .0833                 1.0727                .02                    48.0          .0            .0                  .0
45.0                .0652                 .8586                 .0203                  46.0          .0            .0                  .0
48.0                .0833                 .9866                 .0191                  47.0          .0            .0                  .0
47.0                .0426                 .8942                 .0191                  47.0          .0            .0                  .0
46.0                .0435                 .9306                 .0239                  46.0          .0            .0                  .0
49.0                .1224                 .8048                 .0202                  49.0          .0            .0                  .0
48.0                .1458                 .9993                 .02                    48.0          .0            .0                  .0
46.0                .087                  .9324                 .0204                  46.0          .0            .0                  .0
51.0                .0784                 .8131                 .0192                  51.0          .0            .0                  .0
50.0                .08                   1.1223                .0217                  50.0          .0            .0                  .0
47.0                .0213                 1.008                 .0273                  47.0          .0            .0                  .0
46.0                .0652                 .9708                 .0194                  46.0          .0            .0                  .0
48.0                .0208                 .9212                 .0198                  48.0          .0            .0                  .0
44.0                .0455                 1.0844                .0198                  44.0          .0            .0                  .0
51.0                .0588                 .9363                 .0231                  51.0          .0            .0                  .0
49.0                .0816                 .969                  .0209                  49.0          .0            .0                  .0
50.0                .04                   .9297                 .022                   50.0          .0            .0                  .0
46.0                .1739                 1.1293                .0225                  46.0          .0            .0                  .0
48.0                .0625                 .9287                 .0183                  48.0          .0            .0                  .0
49.0                .0408                 .9796                 .019                   49.0          .0            .0                  .0
47.0                .0417                 .8385                 .0192                  48.0          .0            .0                  .0
51.0                .1961                 1.0133                .0208                  50.0          .0            .0                  .0
49.0                .0204                 .9458                 .0204                  49.0          .0            .0                  .0
46.0                .0652                 1.0027                .0211                  46.0          .0            .0                  .0
Server 0, get requests: 0

