
Thread 0
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
36.0                .3611                 10.2901               1.4934                 .0            36.0          .0                  .0
46.0                .587                  13.894                .078                   .0            46.0          .0                  .0
48.0                .3061                 13.8321               1.0327                 .0            49.0          .0                  .0
55.0                .4643                 14.4655               .4267                  .0            55.0          .0                  .0
45.0                .4783                 14.4025               .4094                  .0            45.0          .0                  .0
44.0                .3778                 13.8687               .7602                  .0            44.0          .0                  .0
52.0                .5472                 13.4794               .6368                  .0            52.0          .0                  .0
50.0                .5098                 14.2366               .3799                  .0            50.0          .0                  .0
50.0                .48                   14.0538               .0796                  .0            49.0          .0                  .0
46.0                .4255                 14.1014               .3919                  .0            47.0          .0                  .0
43.0                .3182                 14.7914               .4063                  .0            43.0          .0                  .0
49.0                .4898                 14.3037               .3725                  .0            48.0          .0                  .0
44.0                .4                    13.8212               .6119                  .0            45.0          .0                  .0
49.0                .5                    14.053                .3406                  .0            49.0          .0                  .0
47.0                .1875                 13.7561               .0735                  .0            47.0          .0                  .0
54.0                .3704                 14.4406               .0622                  .0            53.0          .0                  .0
49.0                .38                   13.9023               .7042                  .0            50.0          .0                  .0
55.0                .6545                 13.2749               .8438                  .0            54.0          .0                  .0
47.0                .3617                 13.5658               .6557                  .0            47.0          .0                  .0
48.0                .2708                 13.4807               .7046                  .0            48.0          .0                  .0
45.0                .3913                 14.0765               .3717                  .0            46.0          .0                  .0
50.0                .3333                 14.2836               .0666                  .0            50.0          .0                  .0
49.0                .62                   13.8661               .6276                  .0            49.0          .0                  .0
47.0                .3542                 14.7323               .0651                  .0            47.0          .0                  .0
43.0                .3864                 15.4532               .8006                  .0            43.0          .0                  .0
45.0                .5217                 14.1447               .4054                  .0            45.0          .0                  .0
46.0                .3404                 13.7939               1.0615                 .0            46.0          .0                  .0
45.0                .2826                 14.0686               .4065                  .0            45.0          .0                  .0
44.0                .4444                 13.9914               .4297                  .0            44.0          .0                  .0
46.0                .3043                 14.0959               1.0415                 .0            45.0          .0                  .0
46.0                .3696                 14.1398               .7656                  .0            46.0          .0                  .0
44.0                .3182                 13.7017               .3757                  .0            44.0          .0                  .0
43.0                .3636                 14.1438               .7503                  .0            44.0          .0                  .0
42.0                .3953                 13.6471               .4127                  .0            42.0          .0                  .0
45.0                .3478                 14.3253               .0659                  .0            45.0          .0                  .0
43.0                .2727                 14.1597               .3877                  .0            43.0          .0                  .0
44.0                .3182                 14.31                 .1308                  .0            43.0          .0                  .0
43.0                .5455                 13.8705               .0607                  .0            44.0          .0                  .0
44.0                .3556                 14.8807               .1349                  .0            44.0          .0                  .0
43.0                .3864                 14.8942               1.1547                 .0            43.0          .0                  .0
47.0                .3125                 14.0344               .3628                  .0            47.0          .0                  .0
44.0                .4                    14.1295               .7038                  .0            44.0          .0                  .0
45.0                .2826                 14.2561               .4083                  .0            45.0          .0                  .0
42.0                .4186                 15.3339               .0659                  .0            42.0          .0                  .0
45.0                .2889                 14.751                .0683                  .0            44.0          .0                  .0
45.0                .3913                 13.4259               .6187                  .0            46.0          .0                  .0
49.0                .56                   13.6016               .0607                  .0            49.0          .0                  .0
45.0                .3696                 15.3453               .0786                  .0            45.0          .0                  .0
49.0                .3                    13.6457               .6575                  .0            49.0          .0                  .0
44.0                .3333                 14.7418               .0628                  .0            44.0          .0                  .0
46.0                .2553                 14.8739               .3908                  .0            46.0          .0                  .0
44.0                .3409                 13.6571               .7327                  .0            43.0          .0                  .0
41.0                .5                    14.6981               1.1702                 .0            42.0          .0                  .0
43.0                .3488                 14.1159               .11                    .0            42.0          .0                  .0
43.0                .4651                 15.4961               .0727                  .0            43.0          .0                  .0
43.0                .3721                 14.3751               .7997                  .0            43.0          .0                  .0
43.0                .4545                 14.9105               1.4054                 .0            44.0          .0                  .0
46.0                .2553                 13.587                .0633                  .0            46.0          .0                  .0
44.0                .3556                 14.6829               .1062                  .0            44.0          .0                  .0
50.0                .3                    13.1784               1.5724                 .0            49.0          .0                  .0
Server 0, get requests: 2752

Thread 1
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
35.0                .5143                 11.1319               .9115                  .0            35.0          .0                  .0
49.0                .38                   13.8426               .4267                  .0            50.0          .0                  .0
42.0                .2619                 13.5377               .4754                  .0            41.0          .0                  .0
46.0                .4255                 14.1498               .1629                  .0            47.0          .0                  .0
51.0                .4231                 13.749                .6539                  .0            51.0          .0                  .0
47.0                .2979                 13.9034               .7291                  .0            46.0          .0                  .0
55.0                .3929                 13.8347               .0638                  .0            56.0          .0                  .0
45.0                .5111                 14.4138               .0648                  .0            44.0          .0                  .0
43.0                .2093                 15.513                .4364                  .0            43.0          .0                  .0
45.0                .4348                 14.3407               .7719                  .0            46.0          .0                  .0
43.0                .3953                 14.3439               .43                    .0            42.0          .0                  .0
43.0                .4091                 15.6788               .4349                  .0            44.0          .0                  .0
47.0                .2553                 13.7541               .0815                  .0            46.0          .0                  .0
43.0                .4186                 14.2813               .7568                  .0            43.0          .0                  .0
48.0                .3469                 13.157                .3716                  .0            49.0          .0                  .0
55.0                .3273                 13.645                .0746                  .0            54.0          .0                  .0
45.0                .3478                 15.1872               .0559                  .0            46.0          .0                  .0
52.0                .4151                 13.6834               .3537                  .0            52.0          .0                  .0
48.0                .3673                 14.1982               .9479                  .0            48.0          .0                  .0
46.0                .4043                 13.9983               .3979                  .0            46.0          .0                  .0
50.0                .3                    14.1454               .049                   .0            49.0          .0                  .0
48.0                .2857                 13.6719               1.3233                 .0            49.0          .0                  .0
46.0                .6596                 14.0943               .5128                  .0            46.0          .0                  .0
44.0                .3333                 14.5728               1.1105                 .0            44.0          .0                  .0
47.0                .2917                 13.908                .6565                  .0            47.0          .0                  .0
47.0                .5208                 13.3731               .981                   .0            47.0          .0                  .0
46.0                .4043                 14.4407               .3921                  .0            46.0          .0                  .0
48.0                .3265                 15.0299               .7056                  .0            48.0          .0                  .0
52.0                .5094                 14.2953               .0527                  .0            52.0          .0                  .0
48.0                .3469                 14.9712               .3825                  .0            48.0          .0                  .0
50.0                .4118                 14.4088               .0535                  .0            50.0          .0                  .0
47.0                .2292                 14.4028               .0546                  .0            47.0          .0                  .0
45.0                .3043                 14.121                .7002                  .0            45.0          .0                  .0
