
Thread 0
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
46.0                .0652                 1.185                 .6068                  46.0          .0            .0                  .0
66.0                .1364                 1.1344                .5741                  66.0          .0            .0                  .0
59.0                .0339                 1.5719                .6936                  59.0          .0            .0                  .0
71.0                .0282                 1.2352                .3738                  71.0          .0            .0                  .0
74.0                .0676                 .9954                 .3555                  74.0          .0            .0                  .0
64.0                .0769                 1.1342                .545                   65.0          .0            .0                  .0
70.0                .0286                 1.2027                .3957                  69.0          .0            .0                  .0
70.0                .0429                 1.2903                .3673                  70.0          .0            .0                  .0
72.0                .1528                 1.1971                .3588                  72.0          .0            .0                  .0
74.0                .0135                 1.3267                .1831                  74.0          .0            .0                  .0
71.0                .0704                 1.292                 .3941                  71.0          .0            .0                  .0
66.0                .1061                 1.2033                .6964                  66.0          .0            .0                  .0
73.0                .0685                 1.1036                .3936                  73.0          .0            .0                  .0
68.0                .0882                 1.8618                .3535                  68.0          .0            .0                  .0
74.0                .027                  1.2795                .3336                  74.0          .0            .0                  .0
66.0                .0597                 1.2232                .3553                  67.0          .0            .0                  .0
78.0                .0256                 1.2387                .2419                  77.0          .0            .0                  .0
78.0                .0769                 1.0605                .4607                  78.0          .0            .0                  .0
72.0                .0972                 1.1819                .5275                  72.0          .0            .0                  .0
85.0                .0588                 1.0695                .3427                  85.0          .0            .0                  .0
80.0                .0375                 1.2516                .4381                  80.0          .0            .0                  .0
81.0                .037                  1.2587                .1791                  81.0          .0            .0                  .0
72.0                .0417                 1.0445                .4105                  72.0          .0            .0                  .0
80.0                .0375                 1.0391                .3975                  80.0          .0            .0                  .0
76.0                .0658                 1.0886                .4779                  76.0          .0            .0                  .0
70.0                .0286                 1.0137                .6075                  70.0          .0            .0                  .0
73.0                .0411                 1.0467                .4484                  73.0          .0            .0                  .0
70.0                .0571                 1.0486                .5209                  70.0          .0            .0                  .0
75.0                .0933                 1.2166                .273                   75.0          .0            .0                  .0
73.0                .0274                 1.0221                .4689                  73.0          .0            .0                  .0
79.0                .0633                 .9762                 .4856                  79.0          .0            .0                  .0
73.0                .0274                 1.2557                .4104                  73.0          .0            .0                  .0
74.0                .0811                 1.0942                .3251                  74.0          .0            .0                  .0
81.0                .0617                 1.0069                .3998                  81.0          .0            .0                  .0
81.0                .0617                 .8766                 .4339                  81.0          .0            .0                  .0
75.0                .0267                 1.015                 .4935                  75.0          .0            .0                  .0
75.0                .0533                 1.4482                .2127                  75.0          .0            .0                  .0
80.0                .05                   1.1223                .5211                  80.0          .0            .0                  .0
73.0                .137                  1.0567                .3211                  73.0          .0            .0                  .0
80.0                .075                  .9743                 .3306                  80.0          .0            .0                  .0
88.0                .2159                 1.1811                .2312                  88.0          .0            .0                  .0
69.0                .1304                 1.2489                .5304                  69.0          .0            .0                  .0
73.0                .0685                 1.1464                .5887                  73.0          .0            .0                  .0
78.0                .0256                 1.019                 .3978                  78.0          .0            .0                  .0
69.0                .029                  1.1434                .389                   69.0          .0            .0                  .0
77.0                .0256                 1.0553                .385                   78.0          .0            .0                  .0
68.0                .0735                 1.0948                .7298                  67.0          .0            .0                  .0
69.0                .1014                 1.171                 .5192                  69.0          .0            .0                  .0
79.0                .0506                 .9677                 .4026                  79.0          .0            .0                  .0
75.0                .0267                 1.1289                .2979                  75.0          .0            .0                  .0
80.0                .125                  1.1345                .3609                  80.0          .0            .0                  .0
74.0                .0541                 1.0739                .3015                  74.0          .0            .0                  .0
75.0                .04                   1.0321                .5999                  75.0          .0            .0                  .0
78.0                .038                  .9891                 .3747                  79.0          .0            .0                  .0
77.0                .039                  1.1107                .4376                  76.0          .0            .0                  .0
75.0                .04                   1.1013                .4202                  75.0          .0            .0                  .0
73.0                .1096                 1.0798                .6268                  73.0          .0            .0                  .0
69.0                .1571                 1.1736                .4988                  70.0          .0            .0                  .0
76.0                .0526                 1.2004                .4127                  75.0          .0            .0                  .0
82.0                .0488                 1.0546                .3439                  82.0          .0            .0                  .0
1.0                 .0                    .9964                 .0875                  1.0           .0            .0                  .0
Server 0, get requests: 0
Server 1, get requests: 0
Server 2, get requests: 0

Thread 1
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
52.0                .0577                 1.6416                .3594                  52.0          .0            .0                  .0
66.0                .0149                 .9981                 .6109                  67.0          .0            .0                  .0
60.0                .1                    1.4317                .5928                  59.0          .0            .0                  .0
72.0                .0274                 1.2759                .2777                  73.0          .0            .0                  .0
77.0                .0649                 1.1825                .393                   76.0          .0            .0                  .0
66.0                .0758                 1.236                 .5178                  66.0          .0            .0                  .0
67.0                .0448                 1.1967                .6185                  67.0          .0            .0                  .0
71.0                .0694                 1.1526                .4708                  72.0          .0            .0                  .0
75.0                .1184                 1.171                 .5057                  75.0          .0            .0                  .0
72.0                .1667                 1.1577                .3738                  71.0          .0            .0                  .0
72.0                .0278                 1.2206                .2861                  72.0          .0            .0                  .0
67.0                .0147                 1.1407                .487                   68.0          .0            .0                  .0
76.0                .0658                 1.1223                .3692                  75.0          .0            .0                  .0
69.0                .029                  1.5841                .4033                  69.0          .0            .0                  .0
72.0                .0556                 1.1771                .3914                  72.0          .0            .0                  .0
69.0                .0714                 1.3806                .1918                  70.0          .0            .0                  .0
75.0                .0267                 1.0619                .2963                  74.0          .0            .0                  .0
73.0                .0676                 1.0813                .2097                  74.0          .0            .0                  .0
72.0                .0556                 1.0837                .3854                  71.0          .0            .0                  .0
80.0                .05                   1.273                 .26                    80.0          .0            .0                  .0
75.0                .0667                 1.1875                .4121                  75.0          .0            .0                  .0
83.0                .0                    1.1253                .2064                  83.0          .0            .0                  .0
76.0                .0526                 .957                  .5836                  76.0          .0            .0                  .0
77.0                .0519                 1.0395                .3713                  77.0          .0            .0                  .0
74.0                .0541                 1.0998                .5607                  74.0          .0            .0                  .0
72.0                .0                    1.3105                .3973                  72.0          .0            .0                  .0
72.0                .0417                 1.0042                .5791                  72.0          .0            .0                  .0
71.0                .0563                 1.1256                .3693                  71.0          .0            .0                  .0
77.0                .0519                 1.1606                .3917                  77.0          .0            .0                  .0
74.0                .0811                 1.0628                .3622                  74.0          .0            .0                  .0
75.0                .0267                 .9851                 .2728                  75.0          .0            .0                  .0
75.0                .0533                 1.1262                .4285                  75.0          .0            .0                  .0
71.0                .0423                 1.1579                .2828                  71.0          .0            .0                  .0
80.0                .05                   1.0059                .3586                  80.0          .0            .0                  .0
78.0                .0641                 .894                  .3739                  78.0          .0            .0                  .0
76.0                .0132                 1.0114                .4919                  76.0          .0            .0                  .0
76.0                .1316                 .9837                 .4065                  76.0          .0            .0                  .0
78.0                .0256                 1.0134                .3511                  78.0          .0            .0                  .0
66.0                .0909                 1.0495                .42                    66.0          .0            .0                  .0
79.0                .0253                 .9953                 .3483                  79.0          .0            .0                  .0
78.0                .0506                 .9538                 .2594                  79.0          .0            .0                  .0
75.0                .0667                 1.2715                .4533                  74.0          .0            .0                  .0
67.0                .0299                 1.0202                .4449                  67.0          .0            .0                  .0
78.0                .1282                 1.073                 .441                   78.0          .0            .0                  .0
72.0                .0556                 1.0463                .4627                  72.0          .0            .0                  .0
77.0                .039                  .9968                 .4791                  77.0          .0            .0                  .0
72.0                .0972                 1.3057                .3302                  72.0          .0            .0                  .0
68.0                .0725                 1.1058                .5761                  69.0          .0            .0                  .0
78.0                .141                  1.1206                .2985                  77.0          .0            .0                  .0
71.0                .0704                 1.3678                .2721                  71.0          .0            .0                  .0
76.0                .0132                 1.3919                .4243                  76.0          .0            .0                  .0
74.0                .0811                 1.0969                .5125                  74.0          .0            .0                  .0
77.0                .1688                 1.0855                .6917                  77.0          .0            .0                  .0
80.0                .2875                 1.2314                .3369                  80.0          .0            .0                  .0
75.0                .1067                 1.276                 .3569                  75.0          .0            .0                  .0
78.0                .0385                 1.0808                .4427                  78.0          .0            .0                  .0
