
Thread 0
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
138.0               1.0576                2.9849                .9953                  139.0         .0            .0                  .0
239.0               .7125                 2.4801                1.0893                 239.0         .0            .0                  .0
248.0               .6734                 2.4985                .9881                  247.0         .0            .0                  .0
269.0               .9037                 2.3551                .9914                  270.0         .0            .0                  .0
271.0               .7463                 2.3138                1.0179                 271.0         .0            .0                  .0
285.0               .8182                 2.3763                .8025                  285.0         .0            .0                  .0
266.0               1.0712                2.531                 .8882                  266.0         .0            .0                  .0
271.0               .7831                 2.2915                .8933                  271.0         .0            .0                  .0
284.0               .9754                 2.1695                .9597                  284.0         .0            .0                  .0
261.0               .7786                 2.2579                1.1483                 261.0         .0            .0                  .0
272.0               .8791                 2.2553                1.1197                 272.0         .0            .0                  .0
302.0               .7129                 2.2772                .7958                  302.0         .0            .0                  .0
275.0               .971                  2.2024                1.0169                 275.0         .0            .0                  .0
265.0               .8609                 2.1182                1.2517                 265.0         .0            .0                  .0
284.0               .8662                 2.2454                .8827                  283.0         .0            .0                  .0
287.0               .8547                 2.3433                .8393                  288.0         .0            .0                  .0
281.0               .9681                 2.5826                .7019                  281.0         .0            .0                  .0
292.0               .8191                 2.2926                .779                   292.0         .0            .0                  .0
286.0               .8955                 2.2629                .9266                  286.0         .0            .0                  .0
279.0               .8964                 2.2634                .9995                  279.0         .0            .0                  .0
289.0               .9483                 2.2223                .9464                  289.0         .0            .0                  .0
270.0               .8745                 2.4748                .882                   270.0         .0            .0                  .0
288.0               .8472                 2.2776                .9396                  287.0         .0            .0                  .0
283.0               .9261                 2.4286                .814                   284.0         .0            .0                  .0
278.0               .9462                 2.5577                .7722                  278.0         .0            .0                  .0
279.0               1.025                 2.2023                1.0613                 279.0         .0            .0                  .0
294.0               .8881                 2.2263                .9449                  294.0         .0            .0                  .0
277.0               .9748                 2.5489                .7501                  277.0         .0            .0                  .0
284.0               1.0211                2.454                 .7872                  284.0         .0            .0                  .0
288.0               1.0381                2.395                 .8695                  288.0         .0            .0                  .0
264.0               1.0792                2.4436                .9509                  264.0         .0            .0                  .0
288.0               .9239                 2.3033                .875                   288.0         .0            .0                  .0
292.0               .9625                 2.2454                .8591                  292.0         .0            .0                  .0
282.0               1.0                   2.2727                .9399                  281.0         .0            .0                  .0
277.0               .9353                 2.3801                .9756                  278.0         .0            .0                  .0
264.0               .7698                 2.0701                1.0324                 264.0         .0            .0                  .0
255.0               .668                  2.5884                .8147                  255.0         .0            .0                  .0
268.0               .6617                 2.2392                .8872                  268.0         .0            .0                  .0
265.0               .782                  2.3776                .8522                  265.0         .0            .0                  .0
255.0               .4844                 2.7168                .5363                  255.0         .0            .0                  .0
262.0               .673                  2.4362                .9126                  262.0         .0            .0                  .0
272.0               .8535                 2.3625                .8657                  272.0         .0            .0                  .0
262.0               .4563                 2.2437                .8236                  262.0         .0            .0                  .0
251.0               .5714                 2.4413                .9316                  251.0         .0            .0                  .0
265.0               .7068                 2.4559                .6632                  265.0         .0            .0                  .0
249.0               .668                  2.5069                .8633                  249.0         .0            .0                  .0
257.0               .4341                 2.1811                .9423                  257.0         .0            .0                  .0
241.0               .2273                 2.2754                .7645                  241.0         .0            .0                  .0
221.0               .3108                 2.5072                .9229                  221.0         .0            .0                  .0
268.0               .7323                 2.455                 .7963                  268.0         .0            .0                  .0
251.0               .5498                 2.1676                .9639                  250.0         .0            .0                  .0
245.0               .4675                 2.357                 .6522                  246.0         .0            .0                  .0
272.0               .5568                 2.2582                .902                   272.0         .0            .0                  .0
260.0               .364                  2.1628                .8214                  260.0         .0            .0                  .0
259.0               .65                   2.2498                .7701                  259.0         .0            .0                  .0
256.0               .5409                 2.3518                .8006                  256.0         .0            .0                  .0
265.0               .5977                 2.0737                1.019                  265.0         .0            .0                  .0
264.0               .4679                 2.0534                .881                   264.0         .0            .0                  .0
273.0               .5584                 2.28                  .746                   273.0         .0            .0                  .0
241.0               .281                  2.4421                .6086                  241.0         .0            .0                  .0
3.0                 .0                    2.7248                -.5521                 2.0           .0            .0                  .0
Server 0, get requests: 0
Server 1, get requests: 0
Server 2, get requests: 0

Thread 1
Throughput          Waiting time          Service time          Time to parse          Sets          Gets          Multi-gets          Misses
136.0               1.0292                3.0033                1.2209                 137.0         .0            .0                  .0
217.0               .7558                 2.7081                1.2015                 216.0         .0            .0                  .0
270.0               .6236                 2.2131                .9392                  271.0         .0            .0                  .0
280.0               .7509                 2.3841                .7487                  280.0         .0            .0                  .0
293.0               .6939                 2.1831                .8819                  293.0         .0            .0                  .0
292.0               .7372                 2.2415                .8808                  292.0         .0            .0                  .0
271.0               .6765                 2.6147                .5947                  271.0         .0            .0                  .0
289.0               .8                    2.2189                .8431                  289.0         .0            .0                  .0
288.0               .7059                 2.2261                .7481                  288.0         .0            .0                  .0
282.0               .8657                 2.2317                .9363                  282.0         .0            .0                  .0
284.0               .9123                 2.2342                .9924                  284.0         .0            .0                  .0
300.0               .9037                 2.182                 .8184                  300.0         .0            .0                  .0
291.0               .75                   2.1765                .8901                  291.0         .0            .0                  .0
296.0               .7912                 2.0723                .9055                  296.0         .0            .0                  .0
288.0               .8478                 2.254                 .7892                  288.0         .0            .0                  .0
281.0               .8688                 2.3971                .853                   281.0         .0            .0                  .0
292.0               1.0171                2.4527                .6418                  292.0         .0            .0                  .0
295.0               .6757                 2.3438                .7133                  295.0         .0            .0                  .0
289.0               .9379                 2.1749                .9695                  289.0         .0            .0                  .0
289.0               .9345                 2.3095                .9046                  289.0         .0            .0                  .0
284.0               1.0                   2.3365                .9232                  284.0         .0            .0                  .0
271.0               .9375                 2.4988                .8891                  271.0         .0            .0                  .0
295.0               .8407                 2.2182                .8867                  294.0         .0            .0                  .0
277.0               1.0647                2.4682                .7836                  278.0         .0            .0                  .0
280.0               1.0107                2.5236                .741                   280.0         .0            .0                  .0
277.0               .8957                 2.3681                .9585                  277.0         .0            .0                  .0
303.0               .9803                 2.1732                .8982                  303.0         .0            .0                  .0
285.0               .8566                 2.6418                .6442                  285.0         .0            .0                  .0
282.0               .7915                 2.4742                .7756                  282.0         .0            .0                  .0
